Round,PoolCup,WinLoss,PtsDiff,OppID,Game,Athlete,Player_Pos,DTO_Attempt,DTO_Complete,TO_Error,BC_Carry,BC_Linebreak,BC_Linebreak_Assist,BC_Tackles_Broken,Pass_Good,Pass_Bad,Offloads_Good,Offloads_Bad,Tackles_Total,Tackles_Assist,Tackles_DefensiveError,Tackles_ShoulderMiss,Tackles_Offload_Effective,Tackles_Offload_Ineffective,Tackles_Contest,Ball_In_Hand,Coversion,Conversion_Attempt,Try_Score,Player_Line
3,2,2,-2,4,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,Forward
3,1,2,-16,7,3,1,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,2,1,0,1,0,0,0,0,Forward
3,2,1,11,3,6,1,1,1,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,Forward
3,2,1,12,5,4,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Forward
3,1,1,17,8,2,1,1,1,0,0,2,1,0,1,4,1,0,0,1,0,2,1,0,0,1,7,0,0,1,Forward
3,1,1,28,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
2,2,1,19,5,6,2,0,0,0,2,6,0,0,0,8,1,1,0,0,0,2,0,0,0,0,15,0,0,0,Back
2,2,1,12,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Back
1,1,2,-5,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,Forward
1,2,2,-22,10,5,3,1,2,1,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,Forward
1,2,1,36,1,4,3,1,0,0,0,2,0,0,0,1,1,1,0,1,1,0,0,0,0,0,4,0,0,0,Forward
1,2,1,5,5,6,3,1,3,1,2,6,0,0,2,0,1,0,0,7,0,1,2,0,0,1,5,0,0,0,Forward
1,1,1,42,6,2,3,1,2,1,1,2,1,0,2,0,0,0,0,1,0,2,1,0,0,0,1,0,0,1,Forward
1,1,1,16,9,1,3,1,0,0,2,1,0,0,0,1,0,0,0,4,0,0,0,0,0,1,3,0,0,0,Forward
2,2,2,-5,10,5,3,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,Forward
2,2,1,19,5,6,3,1,2,2,3,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,4,1,1,0,Forward
2,1,1,21,2,2,3,1,0,0,4,5,0,0,2,0,3,0,0,0,1,0,0,0,0,0,6,0,1,0,Forward
2,2,1,12,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,2,0,Forward
2,1,1,13,3,1,3,1,0,0,0,2,0,0,0,4,4,1,0,1,0,0,1,0,0,0,10,0,0,0,Forward
3,2,2,-2,4,5,3,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,Forward
3,1,2,-16,7,3,3,1,0,0,0,4,0,0,0,1,2,1,0,1,0,0,1,1,0,0,6,0,1,1,Forward
3,2,1,11,3,6,3,1,0,0,1,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,2,0,0,0,Forward
3,2,1,12,5,4,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Forward
3,1,1,17,8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Forward
3,1,1,28,9,1,3,1,1,1,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,0,0,0,Forward
1,1,2,-5,7,3,4,0,0,0,3,4,0,0,2,1,0,0,0,2,0,1,2,1,0,0,3,1,1,0,Back
1,2,2,-22,10,5,4,0,1,0,3,4,0,0,1,0,3,0,0,3,0,0,0,0,0,2,4,0,0,0,Back
1,2,1,36,1,4,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,Back
1,2,1,5,5,6,4,0,1,1,2,5,0,0,3,0,1,0,0,2,0,0,1,0,0,0,3,0,0,0,Back
1,1,1,42,6,2,4,0,1,0,1,3,0,0,0,1,1,1,0,1,0,0,0,0,0,1,5,1,1,0,Back
1,1,1,16,9,1,4,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,Back
1,1,2,-5,7,3,5,1,1,1,1,1,0,0,0,2,1,0,0,0,0,2,3,0,0,0,5,0,0,0,Forward
1,2,2,-22,10,5,5,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,Forward
1,2,1,36,1,4,5,1,3,1,1,5,1,0,3,4,3,2,0,1,0,0,0,0,0,0,12,0,0,0,Forward
1,2,1,5,5,6,5,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,Forward
1,1,1,42,6,2,5,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,Forward
1,1,1,16,9,1,5,1,1,0,0,1,0,1,0,2,1,1,0,1,0,1,1,0,0,1,4,0,0,0,Forward
2,2,2,-5,10,5,5,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,3,0,0,0,Forward
2,2,1,19,5,6,5,1,1,0,1,4,0,0,1,6,2,0,0,2,0,0,1,0,0,0,11,0,0,0,Forward
2,1,1,21,2,2,5,1,4,2,1,6,0,1,2,3,2,2,0,5,0,1,1,2,1,0,11,0,0,0,Forward
2,2,1,12,3,4,5,1,0,0,0,0,0,0,0,3,1,0,0,1,1,1,1,0,0,0,4,0,0,0,Forward
2,1,1,13,3,1,5,1,1,1,1,0,0,0,0,4,2,0,0,7,1,1,0,2,2,2,7,0,0,0,Forward
2,1,1,7,7,3,5,1,2,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,6,0,0,0,Forward
3,2,2,-2,4,5,5,1,2,0,1,4,0,0,2,0,1,0,0,5,0,0,0,0,0,2,2,0,0,0,Forward
3,1,2,-16,7,3,5,1,4,0,1,2,0,0,0,0,2,0,0,4,0,0,1,0,0,2,4,0,0,0,Forward
3,2,1,11,3,6,5,1,0,0,0,1,0,0,1,2,4,0,0,4,0,0,0,1,0,0,6,0,0,0,Forward
3,2,1,12,5,4,5,1,0,0,0,1,0,0,0,3,3,0,0,0,0,0,2,0,0,0,7,0,0,0,Forward
3,1,1,17,8,2,5,1,2,2,1,5,0,0,2,3,0,0,0,1,0,1,0,0,0,0,9,0,0,0,Forward
3,1,1,28,9,1,5,1,1,1,0,1,0,0,0,4,2,0,0,3,0,0,0,0,0,1,7,0,0,0,Forward
1,1,2,-5,7,3,6,0,1,0,2,2,0,0,0,0,3,0,0,1,0,1,1,0,0,1,6,0,0,0,Back
1,2,2,-22,10,5,6,0,0,0,0,3,0,0,1,0,1,1,0,1,0,1,1,1,0,0,3,0,0,0,Back
1,2,1,36,1,4,6,0,1,1,0,4,1,0,2,2,2,0,0,1,0,1,0,0,0,1,6,0,0,1,Back
1,2,1,5,5,6,6,0,2,1,0,0,1,0,0,5,0,0,0,3,0,0,1,0,0,1,6,0,0,1,Back
1,1,1,42,6,2,6,0,1,1,0,3,2,0,1,0,0,2,0,2,0,1,0,0,0,0,3,0,0,1,Back
1,1,1,16,9,1,6,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,0,0,0,2,0,0,0,Back
2,2,2,-5,10,5,6,0,1,0,1,5,0,0,1,4,5,0,0,3,0,1,0,1,0,0,13,0,0,0,Back
2,2,1,19,5,6,6,0,1,0,2,3,0,0,1,7,2,0,0,4,0,0,0,1,1,0,10,0,0,0,Back
2,1,1,21,2,2,6,0,1,0,3,3,0,0,1,4,2,0,0,0,0,1,0,0,0,0,9,0,0,0,Back
2,2,1,12,3,4,6,0,4,1,0,0,0,0,0,5,0,0,0,5,0,1,0,1,1,1,5,0,0,0,Back
2,1,1,13,3,1,6,0,2,0,0,9,0,0,4,6,1,0,0,5,0,0,3,2,0,2,11,0,0,0,Back
2,1,1,7,7,3,6,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,Back
3,2,2,-2,4,5,6,0,0,0,3,3,1,0,1,3,1,0,0,0,0,1,1,0,0,0,9,0,0,0,Back
3,1,2,-16,7,3,6,0,3,1,1,4,0,0,2,2,1,1,0,4,0,2,1,0,0,1,6,0,0,0,Back
3,2,1,11,3,6,6,0,0,0,0,4,0,1,2,1,3,0,0,2,0,0,0,0,0,0,6,0,0,0,Back
3,2,1,12,5,4,6,0,1,1,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,Back
3,1,1,17,8,2,6,0,0,0,0,5,0,0,2,1,0,0,0,2,0,0,0,1,0,0,5,0,0,0,Back
3,1,1,28,9,1,6,0,1,1,1,4,2,0,2,5,2,0,0,0,0,1,1,0,0,0,12,0,0,2,Back
1,1,2,-5,7,3,7,1,0,0,1,0,0,0,0,2,2,0,0,1,0,1,2,0,0,0,5,0,0,0,Forward
1,2,2,-22,10,5,7,1,0,0,2,6,0,0,2,2,0,1,0,1,0,1,2,0,0,0,6,0,0,1,Forward
1,2,1,36,1,4,7,1,1,1,0,3,2,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,Forward
1,2,1,5,5,6,7,1,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,Forward
1,1,1,42,6,2,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Forward
2,2,2,-5,10,5,7,1,1,0,4,1,0,0,0,4,2,1,0,4,0,3,0,0,0,1,8,0,0,0,Forward
2,2,1,19,5,6,7,1,1,0,1,2,0,0,0,1,1,0,1,0,0,1,1,0,0,0,4,0,0,0,Forward
2,1,1,21,2,2,7,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,3,0,0,0,Forward
